language,id,text,file,node,lineNumber,lock,comment,asset
en,line:032e6e6,I brought you an invitation too!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,20,fe618717,,
en,line:0ff0623,Charli: Fire up those balloons and I'm *so* there.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,21,77930754,,
en,line:0e9cbec,"Sorry, I think I'm lost.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,23,8411074e,,
en,line:08945d0,Charli: That makes two of us! I always get lost when I don't leave any slime behind.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli,24,c1511f61,,
en,line:07c65db,Charli: Fire up those balloons and I'll join your party!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli_InProgress,28,a0edc77f,,
en,line:04c4570,Charli: You did it! The sky looks so colorful again!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli_Complete,32,7bd1ad3f,,
en,line:0c1ee9d,Charli: I'll slime straight to your party.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Charli.yarn,Charli_Complete,33,4585b493,,
en,line:0e4c303,Cloudy: Oh... hello. I didn't expect visitors. Not after what happened with my penguins...,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,3,88669647,Line metadata: lastline,
en,line:05b5fd8,What happened to your penguins?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,5,e2cf336d,,
en,line:00270a9,Cloudy: I was playing with my teleportation magic... and I got too excited.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,6,a659f520,,
en,line:0526be3,Cloudy: Now they're scattered across Penguin Land. Alone. Confused.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,7,879e9f5a,Line metadata: lastline,
en,line:02b1f2d,"That's awful! I came here to invite you to a party, but—",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,8,0943e513,,
en,line:0a70c1b,Cloudy: Oh... I couldn't possibly celebrate while they're missing.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,9,a6e10376,,
en,line:0ab1204,"Cloudy: But if you help me bring them home, I promise I'll come. I'll even bring my color-loving friends.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,10,3cfb14f4,,
en,line:0d8b0b6,"Cloudy: Here, I'll give you a bit of my power. Just enough to earn their trust.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,11,ab7c958d,,
en,line:01e1945,I brought you an invitation!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,13,e0936e0c,,
en,line:0b84a48,"Cloudy: A party...? Oh, I couldn't possibly celebrate while my penguin friends are missing.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,14,50e96ff2,,
en,line:0057255,"Cloudy: But... if you help me bring them back, I promise I'll come.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,15,4af38e19,,
en,line:00ef20d,"Cloudy: Take this, it'll help you lead them safely.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,16,dcdad0b3,,
en,line:0095279,I have something else do do but I'll be right back,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy,18,547e3316,,
en,line:0b36075,"Cloudy: Are they safe? Are they warm? Please keep looking, I know they're out there.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy_InProgress,23,fee8b549,,
en,line:002cfa5,"Cloudy: They're home! Oh, thank you! I can't believe they're really back...",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy_Complete,27,935aed37,,
en,line:018988a,"Cloudy: I'll come to the party, and I'll bring my best bowtie. The penguins love color.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Cloudy.yarn,Cloudy_Complete,28,da63e673,,
en,line:0ab1268,Fruity: STAY AWAY FROM MY APPLES!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,3,7fc60c76,Line metadata: lastline,
en,line:07b8954,Don't worry I won't take them!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,4,61a72170,,
en,line:075694e,Fruity: Really? Then what are you doing here?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,5,c43f45cc,Line metadata: lastline,
en,line:0035a3f,I'm here to invite you to a party with all the other monsters,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,6,db2543aa,,
en,line:0d7cc7c,Fruity: The other monsters? No way.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,7,5661b105,Line metadata: lastline,
en,line:062469f,What happened?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,8,c4dc542b,,
en,line:0b3248a,Fruity: They stole my fruit!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,9,2f81331c,Line metadata: lastline,
en,line:091396b,That's awful. How about I grow you some new fruit trees?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,10,c11b10cf,,
en,line:0fe9385,Fruity: Would you do that for me? That would be amazing,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,11,6c5de92f,Line metadata: lastline,
en,line:0a32b96,Yes! But only if you'll come to the party.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,12,59a3e0c6,,
en,line:0638951,"Fruity: Fine, I'll go to the party if you grow me new fruit trees.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,13,7f12735d,,
en,line:04ad4ee,"Sorry, I'll come back later",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity,15,37cf6324,,
en,line:0adaa73,Fruity: Did you finish growing new fruit trees?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity_InProgress,20,04c48f25,,
en,line:0865e86,Fruity: You made me very happy! Thank you so much!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity_Complete,25,9ef95332,,
en,line:07945d5,Fruity: I'll go to the party and bring some fruit with me.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Fruity.yarn,Fruity_Complete,26,72031ef0,,
en,line:037b69a,"Kitty: Hi, can you help me?",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty,3,255c43f6,Line metadata: lastline,
en,line:09bb581,Yes of course!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty,4,5f7443b4,,
en,line:05b894f,Can you bring me 5 balloons?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty,5,f704555e,,
en,line:0d75cea,Who are you?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty,7,80495816,,
en,line:01dcd34,"I'm Kitty, nice to meet you!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty,8,1284321a,,
en,line:0ac7e3f,How's the balloon hunt going?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty_InProgress,12,ef49aff4,,
en,line:00ca805,You brought them all back? Amazing!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Kitty.yarn,Kitty_Complete,17,f69a1967,,
en,line:Potato-1,Potato: Hello!! Have you come to eat hamburgers with me? Or maybe... to play THE GAME??,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,3,52a19f32,Line metadata: lastline,Potato-2
en,line:0991de5,I brought you an invitation!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,4,e0936e0c,,
en,line:0768ad9,Potato: A party? With *music* and *snacks* and *burgers*?!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,5,7512b60b,,
en,line:0d5bf93,Potato: YES. But wait! I can only party with CHAMPIONS. You must first beat me... in HIDE AND SEEK!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,6,c1737e5f,,
en,line:059c5e3,"Potato: But be warned, when we start, I go POOF! You won't see me until you FIND ME!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,7,bb40d648,Line metadata: lastline,
en,line:056a598,I'm ready!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,8,8815dd55,,
en,line:0a022cd,Let's play! I'm hiding near something crispy and DELICIOUS.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,10,4ab007a2,,
en,line:0652d2a,What's “THE GAME”?,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,12,0bb3ea2a,,
en,line:097c384,Potato: THE GAME is everything! THE GAME is the best! THE GAME is... HIDE AND SEEK!!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,13,dc60ba41,,
en,line:0d52b8a,"Potato: I'm the undisputed champion. But if you want me at your party, you'll have to BEAT ME!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,14,c2d8cb75,,
en,line:06691c9,"Potato: But be warned, when we start, I go POOF! You won't see me until you FIND ME!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,15,bb40d648,Line metadata: lastline,
en,line:0301740,I'm in!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,16,441f38c1,,
en,line:0649717,First round: I'm hiding near something crispy and DELICIOUS.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,18,a245bed1,,
en,line:033b880,I was just looking around.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,20,54b08936,,
en,line:0086743,Potato: That's how all great adventures start! And they end... with potatoes.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato,21,7bc6d2ad,,
en,line:09d14c6,"Potato: Next, I'll go to a place with clowns and laughter!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,26,5699dd01,Line metadata: lastline,
en,line:035f3a5,I've seen a tent that looks like the right place,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,27,fd0078d1,,
en,line:0384f32,"Potato: I'm getting hungry, maybe I'll hide near something big and breakfasty!",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,30,f63468c0,Line metadata: lastline,
en,line:0147bbe,Breakfast huh? Something made from flour and eggs,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,31,88af47fe,,
en,line:0aed78e,Potato: Now It's time for something fun! Let's take a ride,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,34,6bf79cd9,Line metadata: lastline,
en,line:0ab1ba2,Something to take a ride on. Let's look for attractions!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,35,182930af,,
en,line:077e3e3,Potato: You're... too good. I may have to hide inside a sandwich next.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,37,9a103379,Line metadata: lastline,
en,line:01914b9,One more time!,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_InProgress,38,ed4da042,,
en,line:00efa07,"Potato: YOU FOUND ME EVERY TIME! I'm officially impressed, and hungry.",C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_Complete,44,c62d50a4,,
en,line:02f685f,Potato: I'll bring mac & cheese and garlands to your party.,C:\Users\kians\OneDrive\Documenten\CMGT\Year 3\Project Show-off\Project-Show-Off\Assets\Scripts\Yarnspinner\Potato.yarn,Potato_Complete,45,79d78e78,,
